Entry	Gene Names (ordered locus)	Entry Name	Gene Ontology IDs	InterPro	Keywords
P66817	b3149 JW3118	DIAA_ECOLI	GO:0006260; GO:0032298; GO:0042802; GO:0097367; GO:1901135; GO:1990102	IPR023070;IPR035461;IPR001347;IPR046348;	3D-structure;Direct protein sequencing;DNA replication;Reference proteome
P66899	b2871 JW2839	DPAL_ECOLI	GO:0008838; GO:0030170	IPR010081;IPR019871;IPR001926;IPR036052;	3D-structure;Disulfide bond;Lyase;Pyridoxal phosphate;Reference proteome
P66948	b2494 JW2479	BEPA_ECOLI	GO:0003756; GO:0004222; GO:0008270; GO:0016020; GO:0030288; GO:0043165; GO:0046872; GO:0051603; GO:0061077	IPR001915;IPR030873;IPR011990;	3D-structure;Hydrolase;Metal-binding;Metalloprotease;Periplasm;Protease;Reference proteome;Repeat;Signal;TPR repeat;Zinc
P67430	b1649 JW5874	NEMR_ECOLI	GO:0003677; GO:0003700; GO:0045892	IPR009057;IPR001647;IPR036271;IPR011075;	3D-structure;Disulfide bond;DNA-binding;Reference proteome;Repressor;Stress response;Transcription;Transcription regulation
P67444	b2882 JW2850	XANQ_ECOLI	GO:0005886; GO:0005887; GO:0042906; GO:0042907	IPR006043;IPR006042;IPR029938;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P67603	b2900 JW2868	AC4CH_ECOLI	GO:0005829; GO:0016813; GO:0046135; GO:0106251	IPR008314;IPR007374;IPR015947;	3D-structure;Hydrolase;Reference proteome
P67910	b3619 JW3594	HLDD_ECOLI	GO:0005829; GO:0008712; GO:0009244; GO:0016020; GO:0070401; GO:0097171	IPR001509;IPR011912;IPR036291;	3D-structure;Acetylation;Carbohydrate metabolism;Direct protein sequencing;Isomerase;Lipopolysaccharide biosynthesis;NAD;NADP;Reference proteome;Stress response
P68183	b4032 JW3992	MALG_ECOLI	GO:0005886; GO:0005887; GO:0015423; GO:0015768; GO:0016020; GO:0034763; GO:0042956; GO:0043190; GO:1902344; GO:1990060; GO:1990154	IPR000515;IPR035906;	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport
P68187	b4035 JW3995	MALK_ECOLI	GO:0005524; GO:0015423; GO:0015768; GO:0016020; GO:0034763; GO:0042956; GO:0043190; GO:0055052; GO:1902344; GO:1990060; GO:1990154	IPR003593;IPR003439;IPR017871;IPR015855;IPR008995;IPR012340;IPR040582;IPR027417;	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Sugar transport;Translocase;Transport
P68398	b2559 JW2543	TADA_ECOLI	GO:0002100; GO:0006382; GO:0008270; GO:0052717	IPR016192;IPR002125;IPR016193;IPR028883;	3D-structure;Hydrolase;Metal-binding;Reference proteome;tRNA processing;Zinc
P68679	b3065 JW3037	RS21_ECOLI	GO:0000028; GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0019843; GO:0022627	IPR001911;IPR018278;IPR038380;	3D-structure;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
P68688	b0849 JW0833	GLRX1_ECOLI	GO:0000166; GO:0004362; GO:0009055; GO:0009263; GO:0010134; GO:0015035; GO:0015036; GO:0019153; GO:0019345; GO:0034599; GO:0045454; GO:0097573	IPR011767;IPR002109;IPR014025;IPR011902;IPR036249;	3D-structure;Deoxyribonucleotide synthesis;Direct protein sequencing;Disulfide bond;Electron transport;Nucleotide-binding;Phosphoprotein;Redox-active center;Reference proteome;Transport
P68699	b3737 JW3715	ATPL_ECOLI	GO:0005886; GO:0008289; GO:0015986; GO:0016021; GO:0042777; GO:0045259; GO:0045263; GO:0046933; GO:0046961	IPR005953;IPR000454;IPR020537;IPR038662;IPR002379;IPR035921;	3D-structure;ATP synthesis;Cell inner membrane;Cell membrane;CF(0);Direct protein sequencing;Formylation;Hydrogen ion transport;Ion transport;Lipid-binding;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P68739	b3998 JW5547	NFI_ECOLI	GO:0000287; GO:0003727; GO:0005737; GO:0006281; GO:0016891; GO:0043737	IPR007581;	3D-structure;Cytoplasm;Direct protein sequencing;DNA damage;DNA repair;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome
P68767	b4260 JW4217	AMPA_ECOLI	GO:0001073; GO:0003677; GO:0004177; GO:0005737; GO:0006276; GO:0006351; GO:0006508; GO:0008233; GO:0030145; GO:0042150; GO:0043171; GO:0070006	IPR011356;IPR043472;IPR000819;IPR023042;IPR008283;	3D-structure;Aminopeptidase;Direct protein sequencing;Hydrolase;Manganese;Metal-binding;Protease;Reference proteome
P68919	b2185 JW2173	RL25_ECOLI	GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0006412; GO:0008097; GO:0009314; GO:0017148; GO:0022625	IPR020056;IPR029751;IPR011035;IPR020055;	3D-structure;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
P69054	b0721 JW0711	DHSC_ECOLI	GO:0005886; GO:0006099; GO:0008177; GO:0009055; GO:0009060; GO:0016020; GO:0016021; GO:0017004; GO:0020037; GO:0045281; GO:0046872; GO:0048039	IPR034804;IPR018495;IPR014314;IPR000701;	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport;Tricarboxylic acid cycle
P69210	b1599 JW1591	MDTI_ECOLI	GO:0005887; GO:0015199; GO:0015220; GO:0015297; GO:0015606; GO:0015871; GO:0022857; GO:0031460; GO:0055085; GO:1902495; GO:1903711; GO:1990961	IPR000390;IPR045324;IPR023737;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P69212	b1600 JW1592	MDTJ_ECOLI	GO:0005886; GO:0005887; GO:0015199; GO:0015220; GO:0015297; GO:0015606; GO:0015871; GO:0022857; GO:0031460; GO:0055085; GO:1902495; GO:1903711; GO:1990961	IPR000390;IPR045324;IPR023740;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P69228	b2079 JW2064	BAER_ECOLI	GO:0000156; GO:0000976; GO:0000987; GO:0001216; GO:0005829; GO:0006351; GO:0032993; GO:0042802; GO:2000144; GO:2001023	IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;	3D-structure;Activator;Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Stress response;Transcription;Transcription regulation;Two-component regulatory system
P69346	b2017 JW5835	YEFM_ECOLI	GO:0006355; GO:0015643; GO:0040008; GO:0043565; GO:0044010; GO:0045892; GO:0110001	IPR006442;IPR036165;	3D-structure;DNA-binding;Reference proteome;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation
P69348	b4539 JW5331	YOEB_ECOLI	GO:0003723; GO:0004521; GO:0006355; GO:0006401; GO:0006402; GO:0009408; GO:0016892; GO:0040008; GO:0043024; GO:0044010; GO:0045947; GO:0098795; GO:0110001; GO:1903507	IPR035093;IPR009614;	3D-structure;Endonuclease;Hydrolase;Nuclease;Reference proteome;Repressor;RNA-binding;Toxin-antitoxin system;Transcription;Transcription regulation
P69380	b3915 JW3886	FIEF_ECOLI	GO:0005886; GO:0006826; GO:0006829; GO:0006876; GO:0006879; GO:0006882; GO:0008324; GO:0015086; GO:0015093; GO:0015341; GO:0015691; GO:0016020; GO:0016021; GO:0042802	IPR002524;IPR027470;IPR036837;IPR023783;IPR027469;	3D-structure;Cell inner membrane;Cell membrane;Ion transport;Iron;Iron transport;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport;Zinc;Zinc transport
P69411	b0196 JW0192	RCSF_ECOLI	GO:0009279; GO:0030288; GO:0035556; GO:0036406; GO:0036460; GO:0070299; GO:0106234	IPR030852;	3D-structure;Capsule biogenesis/degradation;Cell outer membrane;Disulfide bond;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P69423	b3839 JW3815	TATC_ECOLI	GO:0005886; GO:0005887; GO:0008320; GO:0009314; GO:0009977; GO:0016020; GO:0033281; GO:0042802; GO:0043953; GO:0065002	IPR019820;IPR002033;	Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport
P69425	b3838 JW5580	TATB_ECOLI	GO:0005886; GO:0005887; GO:0009977; GO:0033281; GO:0042802; GO:0043953; GO:0065002	IPR018448;	Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport
P69428	b3836 JW3813	TATA_ECOLI	GO:0005829; GO:0005886; GO:0005887; GO:0008320; GO:0009977; GO:0016021; GO:0033281; GO:0042802; GO:0043953; GO:0065002	IPR003369;IPR006312;	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport
P69441	b0474 JW0463	KAD_ECOLI	GO:0000287; GO:0004017; GO:0004550; GO:0005524; GO:0005737; GO:0005829; GO:0006172; GO:0009123; GO:0009132; GO:0015951; GO:0016208; GO:0016310; GO:0044209	IPR006259;IPR000850;IPR033690;IPR007862;IPR027417;	3D-structure;Acetylation;ATP-binding;Cytoplasm;Direct protein sequencing;Kinase;Nucleotide biosynthesis;Nucleotide-binding;Reference proteome;Transferase
P69451	b1805 JW1794	LCFA_ECOLI	GO:0004467; GO:0005504; GO:0005524; GO:0005737; GO:0005829; GO:0006629; GO:0006631; GO:0006635; GO:0006637; GO:0008654; GO:0009411; GO:0009898; GO:0015908; GO:0070538; GO:0102391	IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;	ATP-binding;Cell membrane;Direct protein sequencing;Fatty acid metabolism;Ligase;Lipid metabolism;Magnesium;Membrane;Nucleotide-binding;Reference proteome
P69490	b2197 JW2185	CCME_ECOLI	GO:0017003; GO:0017004; GO:0020037; GO:0031237; GO:0043190; GO:0046872; GO:1903607; GO:1904334	IPR004329;IPR036127;IPR012340;	3D-structure;Cell inner membrane;Cell membrane;Cytochrome c-type biogenesis;Direct protein sequencing;Heme;Iron;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix
P69681	b0451 JW0441	AMTB_ECOLI	GO:0005886; GO:0008519; GO:0015670; GO:0016021; GO:0042802; GO:0072488	IPR029020;IPR001905;IPR018047;IPR024041;	3D-structure;Ammonia transport;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport
P69739	b0972 JW0954	MBHS_ECOLI	GO:0006113; GO:0008901; GO:0009055; GO:0009061; GO:0009267; GO:0009375; GO:0016020; GO:0016021; GO:0019645; GO:0031237; GO:0033748; GO:0044569; GO:0046872; GO:0051538; GO:0051539; GO:0098567	IPR027394;IPR006137;IPR037148;IPR037024;IPR001821;IPR006311;IPR019546;	3D-structure;3Fe-4S;4Fe-4S;Cell inner membrane;Cell membrane;Direct protein sequencing;Iron;Iron-sulfur;Membrane;Metal-binding;Oxidoreductase;Reference proteome;Signal;Transmembrane;Transmembrane helix
P69741	b2997 JW2965	MBHT_ECOLI	GO:0005886; GO:0008901; GO:0009055; GO:0009061; GO:0009375; GO:0016020; GO:0019645; GO:0031236; GO:0033748; GO:0042597; GO:0044569; GO:0046872; GO:0051536; GO:0051538; GO:0051539	IPR027394;IPR006137;IPR037148;IPR037024;IPR001821;IPR006311;IPR019546;	3D-structure;3Fe-4S;4Fe-4S;Cell membrane;Direct protein sequencing;Iron;Iron-sulfur;Membrane;Metal-binding;Oxidoreductase;Periplasm;Reference proteome;Signal
P69776	b1677 JW1667	LPP_ECOLI	GO:0005576; GO:0008289; GO:0009279; GO:0016020; GO:0030258; GO:0030288; GO:0031230; GO:0042802; GO:0042834; GO:0043580; GO:0045203	IPR006817;IPR016367;	3D-structure;Cell outer membrane;Cell wall;Coiled coil;Direct protein sequencing;Formylation;Lipoprotein;Membrane;Palmitate;Peptidoglycan-anchor;Reference proteome;Repeat;Secreted;Signal
P69783	b2417 JW2410	PTGA_ECOLI	GO:0005829; GO:0009401; GO:0016020; GO:0016301; GO:0016310; GO:0031234; GO:0034763; GO:0045912; GO:0046872; GO:1902344; GO:1902495; GO:1990154	IPR011055;IPR001127;	3D-structure;Cytoplasm;Direct protein sequencing;Kinase;Metal-binding;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport;Zinc
P69786	b1101 JW1087	PTGCB_ECOLI	GO:0005355; GO:0005829; GO:0005886; GO:0005887; GO:0006355; GO:0008982; GO:0009401; GO:0016020; GO:0016301; GO:0016310; GO:0043392; GO:0090563; GO:0090564; GO:1902495; GO:1904659	IPR036878;IPR018113;IPR003352;IPR013013;IPR001996;IPR011299;IPR004719;	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport
P69791	b1736 JW1725	PTQA_ECOLI	GO:0005829; GO:0009401; GO:0032991; GO:0090566; GO:1902495; GO:1902815	IPR003188;IPR036542;	3D-structure;Cytoplasm;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport
P69795	b1738 JW1727	PTQB_ECOLI	GO:0005829; GO:0008982; GO:0009401; GO:0016301; GO:0016310; GO:0090566; GO:1902495; GO:1902815	IPR036095;IPR003501;IPR013012;	3D-structure;Cytoplasm;Kinase;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport
P69797	b1817 JW1806	PTNAB_ECOLI	GO:0005737; GO:0005829; GO:0005887; GO:0009401; GO:0015761; GO:0016020; GO:0016301; GO:0016310; GO:0022870; GO:0098708; GO:1902495	IPR013789;IPR004701;IPR036662;IPR033887;IPR004720;IPR036667;IPR018455;	3D-structure;Acetylation;Cell inner membrane;Cell membrane;Cytoplasm;Direct protein sequencing;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport
P69801	b1818 JW1807	PTNC_ECOLI	GO:0005886; GO:0005887; GO:0009401; GO:0015761; GO:0016020; GO:0022870; GO:0098708; GO:1902495	IPR004700;	3D-structure;Cell inner membrane;Cell membrane;Formylation;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport
P69805	b1819 JW1808	PTND_ECOLI	GO:0005886; GO:0005887; GO:0009401; GO:0015761; GO:0016020; GO:0022870; GO:0098708; GO:1902495	IPR004704;	3D-structure;Cell inner membrane;Cell membrane;Formylation;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport
P69811	b2169 JW2156	PTFAH_ECOLI	GO:0005737; GO:0005886; GO:0009401; GO:0016301; GO:0016310; GO:0019897; GO:0022877; GO:0090563; GO:1902495; GO:1990539	IPR000032;IPR035895;IPR016152;IPR002178;IPR001020;IPR002114;	Cytoplasm;Kinase;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport
P69822	b4194 JW4152	ULAB_ECOLI	GO:0005737; GO:0008982; GO:0009401; GO:0015882; GO:0016301; GO:0016310; GO:0090585; GO:1902495	IPR036095;IPR013011;IPR003501;	Cytoplasm;Kinase;Phosphoprotein;Phosphotransferase system;Reference proteome;Transferase;Transport
P69828	b2094 JW2078/JW2081	PTKA_ECOLI	GO:0005829; GO:0009401; GO:0015796; GO:0016301; GO:0016310; GO:0019402; GO:0030295; GO:0032412; GO:0090584; GO:1902495	IPR016152;IPR002178;	Cytoplasm;Galactitol metabolism;Kinase;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport
P69853	b1591 JW5262	DMSD_ECOLI	GO:0005048; GO:0005737; GO:0031234; GO:0061077	IPR026269;IPR028611;IPR020945;IPR036411;	3D-structure;Cell inner membrane;Cell membrane;Chaperone;Cytoplasm;Direct protein sequencing;Membrane;Reference proteome
P69856	b4311 JW5778	NANC_ECOLI	GO:0015136; GO:0015288; GO:0015478; GO:0015772; GO:0045203; GO:0046930	IPR009331;	3D-structure;Cell outer membrane;Ion transport;Membrane;Porin;Reference proteome;Signal;Sugar transport;Transmembrane;Transmembrane beta strand;Transport
P69874	b1126 JW1112	POTA_ECOLI	GO:0000166; GO:0005524; GO:0005886; GO:0015417; GO:0015594; GO:0015847; GO:0016020; GO:0016887; GO:0043190; GO:1903711	IPR003593;IPR003439;IPR017871;IPR008995;IPR027417;IPR017879;IPR005893;IPR013611;	ATP-binding;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport
P69902	b2374 JW2371	FCTA_ECOLI	GO:0033608; GO:0033611; GO:0071468	IPR003673;IPR044855;IPR023606;IPR017659;	3D-structure;Reference proteome;Transferase
P69908	b3517 JW3485	DCEA_ECOLI	GO:0004351; GO:0005829; GO:0006538; GO:0016020; GO:0030170; GO:0051454	IPR010107;IPR002129;IPR015424;IPR015421;IPR021115;	3D-structure;Decarboxylase;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome
P69910	b1493 JW1488	DCEB_ECOLI	GO:0004351; GO:0005829; GO:0006538; GO:0016020; GO:0030170; GO:0051454	IPR010107;IPR002129;IPR015424;IPR015421;IPR021115;	3D-structure;Acetylation;Cytoplasm;Decarboxylase;Direct protein sequencing;Lyase;Membrane;Pyridoxal phosphate;Reference proteome
P69913	b2696 JW2666	CSRA_ECOLI	GO:0005829; GO:0006402; GO:0017148; GO:0031438; GO:0045719; GO:0045947; GO:0045948; GO:0048027; GO:0048255	IPR003751;IPR036107;	3D-structure;Activator;Cytoplasm;Reference proteome;Repressor;RNA-binding;Translation regulation
P69922	b2802 JW2773	FUCI_ECOLI	GO:0005829; GO:0008736; GO:0008790; GO:0019571; GO:0030145; GO:0042355; GO:0042802	IPR004216;IPR038393;IPR015888;IPR038391;IPR012888;IPR005763;IPR038392;IPR009015;IPR012889;	3D-structure;Carbohydrate metabolism;Cytoplasm;Direct protein sequencing;Fucose metabolism;Isomerase;Manganese;Metal-binding;Reference proteome
P69924	b2235 JW2229	RIR2_ECOLI	GO:0004748; GO:0005506; GO:0005737; GO:0005829; GO:0005971; GO:0006260; GO:0009185; GO:0009263; GO:0009265; GO:0015949; GO:0042802	IPR009078;IPR012348;IPR033909;IPR030475;IPR000358;	3D-structure;Deoxyribonucleotide synthesis;Direct protein sequencing;Iron;Metal-binding;Oxidoreductase;Reference proteome
P69931	b2496 JW5397	HDA_ECOLI	GO:0005829; GO:0005886; GO:0006260; GO:0006270; GO:0016020; GO:0030174; GO:0032297; GO:0042802; GO:0043531; GO:1990078; GO:1990085	IPR020591;IPR013317;IPR017788;IPR022864;IPR027417;	Cell inner membrane;Cell membrane;Direct protein sequencing;DNA replication;DNA replication inhibitor;Membrane;Nucleotide-binding;Reference proteome
P69937	b4148 JW5738	GDX_ECOLI	GO:0005886; GO:0005887; GO:0006811; GO:0015299; GO:0022857; GO:0055085; GO:1990961	IPR000390;IPR045324;	Cell inner membrane;Cell membrane;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P71241	b2047 JW2032	WCAJ_ECOLI	GO:0005886; GO:0005887; GO:0009103; GO:0009242; GO:0016757; GO:0016780; GO:0089702	IPR003362;IPR017475;IPR017473;	Cell inner membrane;Cell membrane;Exopolysaccharide synthesis;Glycosyltransferase;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
P75682	b0268 JW0261	YAGE_ECOLI	GO:0005829; GO:0042802; GO:0046176; GO:0047440; GO:0061677	IPR013785;IPR002220;IPR020625;IPR020624;	3D-structure;Cytoplasm;Lyase;Reference proteome;Schiff base
P75691	b0325 JW0317	YAHK_ECOLI	GO:0008106; GO:0008270; GO:0016616	IPR013149;IPR013154;IPR002328;IPR029752;IPR011032;IPR036291;IPR020843;	3D-structure;Metal-binding;NADP;Oxidoreductase;Reference proteome;Zinc
P75728	b0662 JW0659	UBIF_ECOLI	GO:0005737; GO:0006744; GO:0008682; GO:0016491; GO:0016705; GO:0016709; GO:0071949; GO:0110142	IPR002938;IPR036188;IPR018168;IPR010971;	Cytoplasm;FAD;Flavoprotein;Monooxygenase;Oxidoreductase;Reference proteome;Ubiquinone biosynthesis
P75780	b0805 JW0790	FIU_ECOLI	GO:0009279; GO:0015344; GO:0015891; GO:0016020; GO:0033214; GO:0038023; GO:0042884; GO:0045203; GO:0055072; GO:1902495	IPR030148;IPR012910;IPR037066;IPR039423;IPR000531;IPR010916;IPR036942;IPR010105;	3D-structure;Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
P75792	b0822 JW0806	SUPH_ECOLI	GO:0000287; GO:0005829; GO:0016791; GO:0050286; GO:0050308; GO:0103026	IPR000150;IPR036412;IPR006379;IPR023214;	3D-structure;Hydrolase;Magnesium;Metal-binding;Reference proteome
P75804	b0837 JW0821	YLII_ECOLI	GO:0005509; GO:0009279; GO:0016901; GO:0030288; GO:0070968	IPR011042;IPR012938;IPR011041;	3D-structure;Calcium;Cell outer membrane;Membrane;Metal-binding;Oxidoreductase;PQQ;Reference proteome;Signal
P75809	b0844 JW5113	YBJI_ECOLI	GO:0000287; GO:0005829; GO:0009231; GO:0016791; GO:0043726	IPR000150;IPR036412;IPR006379;IPR023214;	Hydrolase;Magnesium;Metal-binding;Reference proteome
P75820	b0867 JW0851	AMID_ECOLI	GO:0008270; GO:0008745; GO:0009253; GO:0009254; GO:0009279; GO:0009392; GO:0019867; GO:0071555	IPR036505;IPR002502;IPR036365;IPR036366;	3D-structure;Cell outer membrane;Cell wall biogenesis/degradation;Hydrolase;Lipoprotein;Membrane;Metal-binding;Palmitate;Reference proteome;Signal;Zinc
P75823	b0870 JW0854	LTAE_ECOLI	GO:0005829; GO:0006545; GO:0006567; GO:0008732; GO:0030170; GO:0042802; GO:0050179	IPR001597;IPR023603;IPR015424;IPR015421;IPR015422;	3D-structure;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome
P75825	b0873 JW0857	HCP_ECOLI	GO:0004601; GO:0005737; GO:0006807; GO:0016491; GO:0018119; GO:0035606; GO:0042542; GO:0046210; GO:0046872; GO:0050418; GO:0051537	IPR004137;IPR010048;IPR016099;IPR011254;IPR016100;	2Fe-2S;3D-structure;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome
P75830	b0878 JW0862	MACA_ECOLI	GO:0005886; GO:0015562; GO:0016020; GO:0019898; GO:0042802; GO:0046677; GO:1990196; GO:1990281; GO:1990961	IPR032317;IPR030190;IPR006143;	3D-structure;Antibiotic resistance;Cell inner membrane;Cell membrane;Coiled coil;Direct protein sequencing;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P75831	b0879 JW0863	MACB_ECOLI	GO:0005524; GO:0005886; GO:0005887; GO:0008559; GO:0016020; GO:0016021; GO:0022857; GO:0042802; GO:0046677; GO:1990196; GO:1990961	IPR003593;IPR003838;IPR003439;IPR017871;IPR017911;IPR025857;IPR027417;	3D-structure;Antibiotic resistance;ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
P75849	b0927 JW0910	GLO22_ECOLI	GO:0004416; GO:0005829; GO:0009636; GO:0019243; GO:0046872	IPR001279;IPR036866;	Detoxification;Hydrolase;Metal-binding;Reference proteome;Zinc
P75862	b0946 JW5125	ZAPC_ECOLI	GO:0000917; GO:0005737; GO:0032153; GO:0036212; GO:0042802; GO:0043093; GO:0051302	IPR009809;	3D-structure;Cell cycle;Cell division;Cytoplasm;Reference proteome;Septation
P75864	b0948 JW0931	RLMKL_ECOLI	GO:0003723; GO:0005737; GO:0008990; GO:0031167; GO:0052915; GO:0070043; GO:0070475	IPR017244;IPR002052;IPR000241;IPR019614;IPR029063;IPR004114;	3D-structure;Cytoplasm;Methyltransferase;Reference proteome;RNA-binding;rRNA processing;S-adenosyl-L-methionine;Transferase
P75876	b0967 JW5898	RLMI_ECOLI	GO:0003723; GO:0005737; GO:0005829; GO:0009383; GO:0016434; GO:0031167; GO:0044010; GO:0070475	IPR002478;IPR015947;IPR036974;IPR041532;IPR023542;IPR019614;IPR029063;	3D-structure;Cytoplasm;Methyltransferase;Reference proteome;RNA-binding;rRNA processing;S-adenosyl-L-methionine;Transferase
P75892	b1006 JW5137	RUTG_ECOLI	GO:0005350; GO:0005886; GO:0006212; GO:0015210; GO:0015218; GO:0015505; GO:0016021; GO:0098721; GO:1904082	IPR006043;IPR019918;IPR006042;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport
P75898	b1012 JW0997	RUTA_ECOLI	GO:0004497; GO:0006208; GO:0006210; GO:0006212; GO:0008726; GO:0019740; GO:0046306; GO:0052614	IPR011251;IPR036661;IPR019914;	3D-structure;Flavoprotein;FMN;Monooxygenase;NADP;Oxidoreductase;Reference proteome
P75906	b1023 JW5142	PGAB_ECOLI	GO:0004553; GO:0005975; GO:0009279; GO:0016810; GO:0043708; GO:0044010; GO:0098732	IPR011330;IPR002509;IPR023854;IPR032772;	3D-structure;Cell outer membrane;Hydrolase;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P75908	b1025 JW5143	DGCT_ECOLI	GO:0005525; GO:0005886; GO:0016021; GO:0046872; GO:0052621; GO:0090609	IPR000160;IPR033424;IPR029787;IPR043128;	Cell inner membrane;Cell membrane;GTP-binding;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix
P75913	b1033 JW5146	GHRA_ECOLI	GO:0005829; GO:0005886; GO:0008465; GO:0016618; GO:0030267; GO:0051287	IPR029753;IPR006140;IPR023514;IPR036291;	3D-structure;Cytoplasm;Direct protein sequencing;NAD;NADP;Oxidoreductase;Reference proteome
P75914	b1034 JW1017	YCDX_ECOLI	GO:0005829; GO:0008270; GO:0016791; GO:0042578; GO:0042802; GO:0071978	IPR023710;IPR004013;IPR003141;IPR016195;	3D-structure;Hydrolase;Metal-binding;Reference proteome;Zinc
P75949	b1107 JW1093	NAGZ_ECOLI	GO:0004563; GO:0005829; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0009254; GO:0051301; GO:0071555; GO:0102148	IPR022956;IPR019800;IPR001764;IPR036962;IPR017853;	Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Glycosidase;Hydrolase;Peptidoglycan synthesis;Reference proteome
P75957	b1117 JW5162	LOLD_ECOLI	GO:0005524; GO:0005886; GO:0022857; GO:0042953; GO:0043190; GO:0044874; GO:0055085; GO:0089705; GO:0098797; GO:0140306	IPR003593;IPR003439;IPR017871;IPR015854;IPR011924;IPR017911;IPR027417;	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport
P75959	b1119 JW1105	NAGK_ECOLI	GO:0005524; GO:0006044; GO:0008270; GO:0009254; GO:0045127	IPR043129;IPR023505;IPR000600;	ATP-binding;Carbohydrate metabolism;Direct protein sequencing;Kinase;Metal-binding;Nucleotide-binding;Reference proteome;Transferase;Zinc
