Pathways	Genes of pathway	Object ID	Common-Name
LPSSYN-PWY	EG10546 // EG11409 // EG12666 // EG10316 // EG10265 // EG10545 // EG10519 // G7663 // EG10518 // G7662 // EG10973 // EG10520 // EG10464 // EG10614 // EG11189 // EG12210 // EG11425 // EG11351 // EG11352 // EG11353 // EG11423 // EG11340 // EG11341 // EG11339 // EG50003	LPSSYN-PWY	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis
PWY-5838	EG10017 // EG12437 // EG11532 // EG12362 // EG10579 // EG12438 // EG11368 // G6912 // EG11473 // EG11880	PWY-5838	superpathway of menaquinol-8 biosynthesis I
METHGLYUT-PWY	G6891 // G6099 // EG12026 // G6475 // EG10231 // G7558 // EG11648 // G7565 // G6967 // G7564 // EG11904 // EG10035 // EG11963	METHGLYUT-PWY	superpathway of methylglyoxal degradation
GLCMANNANAUT-PWY	EG10633 // EG10632 // G7677 // G7676 // G7920 // G7675 // EG10637	GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
ORNDEG-PWY	EG10964 // G6755 // G7596 // G6645 // EG10036 // EG11822 // G6644	ORNDEG-PWY	superpathway of ornithine degradation
PWY-6071	EG13139 // G7961 // G6716 // G6713 // G6709 // G6711 // G6710 // G6718 // G6715 // G6708 // G6719 // G6714	PWY-6071	superpathway of phenylethylamine degradation
PHOSLIPSYN-PWY	EG11608 // G6406 // EG10781 // EG10775 // EG20091 // EG11377 // EG10139 // EG10740 // EG10706 // EG10704 // EG10705 // EG11371 // G6551 // EG50003	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)
POLYAMSYN-PWY	EG10959 // EG10960 // EG10961 // EG10962 // EG10963 // EG10131 // G6094	POLYAMSYN-PWY	superpathway of polyamine biosynthesis I
PWY0-1297	EG10222 // EG10030 // EG10220 // EG10221 // G7285 // EG10031 // M014	PWY0-1297	superpathway of purine deoxyribonucleosides degradation
DENOVOPURINE2-PWY	EG10794 // EG10792 // EG10797 // EG10798 // EG11809 // EG10791 // EG10795 // EG10793 // EG10796 // EG10421 // EG10420 // EG10965 // EG10790 // EG11314 // EG10032 // EG10660 // EG10661 // EG20257 // EG12381 // EG10650 // EG11417 // EG11031 // EG11887 // G7401	DENOVOPURINE2-PWY	superpathway of purine nucleotides <i>de novo</i> biosynthesis II
PWY0-845	G7259 // G6879 // EG11309 // EG11487 // EG10368 // G6237 // EG10693 // G0-9461 // EG10946 // EG10691	PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
PWY0-1298	EG10137 // EG10219 // EG12159 // EG10220 // EG10221 // G7285 // EG10031 // M014	PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation
PWY-7211	EG10572 // EG10251 // G7164 // EG11002 // EG12302 // EG20257 // EG12381 // EG10660 // EG10661 // EG10135 // EG10134 // EG10805 // EG10811 // EG10806 // EG10808 // EG10809 // EG10807 // EG11539 // EG10650 // EG10032 // EG10810 // EG11031 // EG11887	PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis
PWY0-166	EG11418 // EG11417 // EG10572 // EG10251 // G7164 // EG11002 // EG12302 // EG10650 // EG10032 // EG20257 // EG12381 // EG10660 // EG10661 // EG11031 // EG11887 // G7401	PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
PWY-7208	EG11539 // EG10650 // EG10032 // EG10810 // EG11332	PWY-7208	superpathway of pyrimidine nucleobases salvage
PWY-7196	EG11082 // G6358 // EG12030 // EG10137 // EG11701 // EG11332 // EG11539 // EG10810 // EG11265 // EG10650 // EG10032	PWY-7196	superpathway of pyrimidine ribonucleosides salvage
PWY0-162	EG10135 // EG10134 // EG10805 // EG10811 // EG10806 // EG10808 // EG10809 // EG10807 // EG11539 // EG10650 // EG10032 // EG10810	PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis
MET-SAM-PWY	EG10581 // EG10584 // EG10582 // EG10587 // EG10583 // EG10564 // EG10088 // EG10590 // EG10589	MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis
SULFATE-CYS-PWY	EG10189 // EG10191 // EG10190 // EG10186 // EG10194 // EG10185 // EG10187 // EG10192 // EG10193 // EG10946 // EG10944 // EG10945 // EG11031 // EG11887	SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis
PWY-6612	EG50011 // EG10327 // EG10326 // G6862 // EG11374 // EG11673 // EG11138 // EG11375 // EG10683 // EG10682 // EG11493	PWY-6612	superpathway of tetrahydrofolate biosynthesis
THISYN-PWY	G7135 // EG11585 // G6234 // EG11586 // EG11589 // G6237 // EG11587 // EG11590 // G7325 // EG11328 // G1 // G6238	THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I
UBISYN-PWY	EG11369 // G6365 // EG11473 // EG11324 // EG11143 // EG11333 // EG11396 // EG11370 // EG10017 // EG10508	UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (early decarboxylation)
PWY-6284	EG10273 // EG10274 // EG11542 // EG12606 // EG11318 // EG11284 // EG11528 // EG50003	PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)
PWY0-981	EG12423	PWY0-981	taurine degradation IV
TCA	EG10948 // EG10576 // EG10358 // EG10357 // EG10356 // G6903 // EG11162 // EG10982 // EG10981 // EG10979 // EG10980 // EG10543 // EG10489 // EG10402 // EG11325 // EG12316 // EG10934 // EG10933 // EG10932 // EG10931 // EG12069	TCA	TCA cycle I (prokaryotic)
PWY-6614	EG50011 // EG10327 // EG10326 // G6862	PWY-6614	tetrahydrofolate biosynthesis I
PWY0-1433	G6862 // G7195 // EG11375	PWY0-1433	tetrahydromonapterin biosynthesis
PWY-5188	EG10430 // EG10429 // EG10428 // EG10432 // EG10427 // EG10407 // EG30033 // EG30034 // EG30035 // EG30032	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY-6894	G6234 // EG11586	PWY-6894	thiamine diphosphate biosynthesis I (E. coli)
PWY-6897	M007 // EG11586 // G6234 // G7259 // G7135	PWY-6897	thiamine diphosphate salvage II
PWY-6892	EG11589 // G6237 // EG11587 // EG11590 // G7325 // EG11328 // G1 // G6238	PWY-6892	thiazole component of thiamine diphosphate biosynthesis I
THIOREDOX-PWY	EG11032 // EG11031 // EG11887	THIOREDOX-PWY	thioredoxin pathway
PWY-5350	EG10395 // EG10780 // EG11600 // G7398	PWY-5350	thiosulfate disproportionation IV (rhodanese)
PWY0-1506	EG12615 // G6514	PWY0-1506	TorTSR Signal Transduction System, TMAO dependent
PWY-5123	EG10508	PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
TRESYN-PWY	EG11751 // EG11752	TRESYN-PWY	trehalose biosynthesis I
TREDEGLOW-PWY	EG11402 // EG12957	TREDEGLOW-PWY	trehalose degradation I (low osmolarity)
PWY0-1182	EG12245 // EG12957	PWY0-1182	trehalose degradation II (cytosolic)
PWY0-1466	EG11017	PWY0-1466	trehalose degradation VI (periplasmic)
TRNA-CHARGING-PWY	EG10071 // EG10196 // EG10390 // EG10407 // EG10492 // EG10532 // EG11067 // EG10034 // EG10094 // EG10097 // EG11043 // EG11030 // EG11001 // EG10947 // EG10770 // EG10709 // EG10710 // EG10553 // EG10552 // EG10453 // EG10410 // EG10409 // EG10586 // EG30017 // EG30014 // EG30018 // EG30015 // EG30019 // EG30016 // EG30013 // G7991 // EG30031 // EG30028 // EG30029 // EG30030 // EG30033 // EG30034 // EG30035 // EG30032 // EG30044 // EG30045 // G7387 // EG30046 // EG30043 // EG30053 // EG30050 // EG30047 // EG30054 // EG30051 // EG30048 // EG30052 // EG30049 // EG30110 // EG30114 // EG30111 // G6389 // EG30112 // EG30109 // EG30113 // EG30012 // EG30009 // EG30010 // EG30011 // EG30008 // EG30021 // EG30022 // G7069 // EG30020 // EG30025 // EG30023 // EG30024 // EG30108 // EG30106 // EG30107 // EG30105 // EG30103 // EG30104 // EG30101 // EG30102 // EG30092 // EG30096 // EG30093 // EG30097 // EG30094 // EG30095 // EG30068 // EG30066 // EG30067 // EG30064 // EG30065 // EG30058 // EG30059 // G6391 // EG30057 // G6392 // EG30055 // G6390 // EG30056 // EG30042 // EG30040 // EG30037 // EG30041 // EG30038 // EG30039 // EG30036 // EG30062 // EG30060 // EG31117 // EG30061	TRNA-CHARGING-PWY	tRNA charging
PWY0-1479	EG10743 // EG11620 // G7175 // EG30069 // EG10862 // EG11547 // EG10858 // EG10863 // EG10859	PWY0-1479	tRNA processing
PWY-7892	G7199 // EG11344 // G7712 // G7713 // G7714 // EG12216 // EG10997 // EG10375 // EG11768 // EG12876 // G6906 // G7325	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
ALKANEMONOX-PWY	G6479 // G6477	ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase
PWY-6708	G6365 // EG11473 // EG11324 // EG11143 // EG11333 // EG11396 // EG11370	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation)
PWY-7344	EG10362	PWY-7344	UDP-&alpha;-D-galactose biosynthesis
PWY-7343	EG11319 // EG12144	PWY-7343	UDP-&alpha;-D-glucose biosynthesis
PWY-7346	G7091	PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
PWY-7335	EG11452 // EG11451	PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis
UDPNAGSYN-PWY	EG11198 // EG10382 // EG11553 // G7463 // EG10702	UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
PWY-6387	EG11358 // EG11205 // EG10622 // EG10619 // EG10620 // EG11204 // EG10621 // EG10213 // EG10214	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
PWY0-1492	EG11051 // EG11052	PWY0-1492	UhpBA Two Component Signal Transduction System
PWY-5686	EG10135 // EG10134 // EG10805 // EG10811 // EG10806 // EG10808 // EG10809 // EG10807	PWY-5686	UMP biosynthesis I
PWY0-1471	G6520 // G6521 // G6519 // EG12345 // G6522 // G6523	PWY0-1471	uracil degradation III
PWY-7176	EG11539 // EG10650 // EG10032 // EG10810	PWY-7176	UTP and CTP <i>de novo</i> biosynthesis
SALVPURINE2-PWY	EG10414 // G85 // EG12159	SALVPURINE2-PWY	xanthine and xanthosine salvage
PWY0-1498	EG10482 // EG10008	PWY0-1498	ZraSR Two-Component Signal Transduction System
